指标代码,CGB_1Y_月末值(%),r_f_月频,CSI300_TR_月末值,r_equity_A,AU9999_月末值,r_gold_A,NHCI_月末值,r_cmdty_A,CGB_10Y_月末值(%),CBOND_NEW_COMPOSITE_WEALTH_月末值,r_bond_A,CBA02201_月末值,r_cash_A
2006-01-31,1.6571,0.001370538260566878,1009.6,0.08919283546502829,143.95,0.07499007750221491,1239.5,0.060203169695928635,2.9795,114.2408,0.007395928455256895,101.13,0.0029708875089550727
2006-02-28,1.703,0.0014082085254596421,1053.01,0.042098516978096925,143.44,-0.0035491877613073562,1205.5,-0.027813653854019404,2.9266,114.2639,0.0002021840257877338,101.19,0.0005931198275895065
2006-03-31,1.71,0.001413952076400271,1061.09,0.007643951887638837,150.4,0.04738158221886217,1231.01,0.02094055200708049,2.94,114.5049,0.002106931444787328,101.38,0.0018758953025346907
2006-04-30,1.725,0.0014262584655058141,1173.67,0.1008389099324689,164.39,0.08894324200567956,1323.29,0.07228608925673191,3.0,114.4792,-0.00022446973486729298,101.48,0.0009859016868779935
2006-05-31,1.7373,0.0014363484633805879,1373.19,0.1570009087114541,168.83,0.026650637967683317,1392.46,0.05095090718963804,3.02,114.604,0.0010895605818871245,101.63,0.0014770324185939562
2006-06-30,2.01,0.0016597643621756308,1413.07,0.028628142146700928,154.02,-0.09180982737799827,1300.96,-0.0679695136151488,3.165,114.1232,-0.004204141074347035,101.69,0.0005902026533710959
2006-07-31,2.23,0.0018396059010297172,1316.29,-0.07094746909314795,163.1,0.05728104551586413,1277.94,-0.017853046980963436,3.26,114.0682,-0.000482051480161241,101.77,0.0007863954007940055
2006-08-31,2.031,0.0016769463954733332,1362.68,0.03463617555321206,159.15,-0.024516355898866252,1228.82,-0.039195047175942986,3.238,114.574,0.004424387318653618,102.05,0.002747524052013541
2006-09-30,2.015,0.0016638556165569085,1429.71,0.04801827758164991,153.51,-0.0360814422429918,1237.53,0.007063098270623959,2.999,115.4246,0.007396600483674869,102.32,0.0026422680147333987
2006-10-31,2.0104,0.0016600916692905976,1492.08,0.04269949314416923,152.1,-0.009227512219862923,1239.51,0.0015986826387177394,2.9512,115.8087,0.0033221889172014886,102.44,0.0011721040607372475
2006-11-30,2.0508,0.0016931436294200797,1746.67,0.1575399984129121,160.9,0.056244854733090356,1247.92,0.006762025098650598,2.9781,115.9999,0.0016496371865359,102.63,0.0018530263262984687
2006-12-31,2.089,0.0017243846998651335,2079.9,0.17460869757445063,159.34,-0.009742770046117516,1247.22,-0.0005610907751587317,3.0269,116.1421,0.0012251123690298358,102.89,0.0025301687300958112
2007-01-31,2.07,0.0017088472872288651,2430.74,0.15587592210815188,161.22,0.011729607903234768,1215.5,-0.02576155977927655,3.0671,116.3816,0.002060005794640874,103.13,0.002329871940258663
2007-02-28,2.135,0.0017619906190242673,2593.02,0.0646274818578724,167.25,0.036719807152882956,1263.45,0.03869055967330439,3.1466,116.4859,0.0008957884374119609,103.33,0.001937421898285875
2007-03-31,2.25,0.001855937535336194,2834.75,0.0891305302693705,165.36,-0.011364783634824894,1295.37,0.024950294181316227,3.4338,116.4069,-0.0006784237471492523,103.56,0.002223404657073437
2007-04-30,2.2879,0.0018868779517455803,3627.87,0.24669194932652827,168.23,0.017207175357556146,1295.81,0.000339613615595263,3.5916,116.3546,-0.0004493870410712138,103.79,0.0022184720938607026
2007-05-31,2.49,0.002051689077593899,4008.88,0.09986620136450479,162.16,-0.036748588587324396,1264.56,-0.024411746657253937,4.06,115.9633,-0.003368663112362435,104.0,0.002021272164174947
2007-06-30,2.68,0.002206361275312263,3853.54,-0.03951969420493989,158.8,-0.0209379533307092,1226.72,-0.03038029475855568,4.45,115.1973,-0.006627451250398878,104.18,0.0017292731756728993
2007-07-31,2.8525,0.0023465602947685404,4573.33,0.17124939841048484,162.21,0.021246243248987717,1280.22,0.04268799733426305,4.3401,115.5274,0.0028614207774958385,104.47,0.002779776532370966
2007-08-31,2.8258,0.002324874030509072,5432.75,0.17220384665131866,162.03,-0.0011102887891137143,1293.99,0.010698529910867192,4.2743,116.0693,0.004679695254264857,104.75,0.002676609952830495
2007-09-30,3.1766,0.0026093899774688456,5724.4,0.05229228903687506,178.2,0.09512501176379942,1348.75,0.04144776951662988,4.3877,115.9772,-0.0007938064554840381,104.98,0.00219329702190668
2007-10-31,3.36,0.002757783545331849,5835.21,0.019172514353545035,188.68,0.05714594337935211,1365.64,0.01244494563298052,4.4937,116.0087,0.00027156823060032104,105.14,0.0015229395671481339
2007-11-30,3.77,0.0030886538948657893,4859.55,-0.18296441377527747,190.23,0.008181407963988842,1330.96,-0.02572269685383753,4.5086,115.6872,-0.002775191156520047,105.29,0.0014256524773661409
2007-12-31,3.6774,0.0030140305120915922,5475.9,0.11941080472185994,195.03,0.024919526504437097,1362.77,0.023618906691408967,4.4253,116.1804,0.004254158354353634,105.67,0.003602582584271417
2008-01-31,3.43,0.0028143586760123185,4739.52,-0.14442078099824032,213.98,0.09272915982597335,1367.36,0.0033624804127635934,4.1937,116.9878,0.006925500364783884,106.06,0.003683941256044509
2008-02-29,3.31,0.002717351230255627,4795.07,0.011652442012519047,221.35,0.03386260646768951,1496.85,0.09048102654277115,4.1283,117.6717,0.005828887697654699,106.38,0.0030126176051876326
2008-03-31,3.1081,0.0025539028721182078,3888.42,-0.20958540131368594,212.0,-0.04315888450613757,1385.54,-0.07727294466825828,4.046,118.3451,0.005706388929254101,106.75,0.0034720627945623596
2008-04-30,3.225,0.002648575109462703,4062.94,0.043903944028005085,198.13,-0.06766289376584496,1370.06,-0.01123542084656455,4.0725,118.6539,0.002605919643123668,107.08,0.003086566543417792
2008-05-31,3.359,0.0027569750747515887,3711.73,-0.09040877427378914,195.79,-0.011880724636985944,1393.34,0.01684920804463261,4.1589,118.8861,0.0019550397740102526,107.4,0.002983963422612542
2008-06-30,3.5467,0.002908599514817034,2882.43,-0.2528643868185973,204.59,0.04396532019855349,1473.95,0.05624212934312257,4.5285,118.6127,-0.002302328439284469,107.72,0.0029750858686338434
2008-07-31,3.5405,0.0029035951673686,2902.64,0.006986979316543877,201.0,-0.01770306840865942,1405.15,-0.047801813236291436,4.4401,118.9689,0.00299855095589847,108.09,0.0034289454847134214
2008-08-31,3.487,0.00286040107633756,2475.64,-0.15912171925578755,183.98,-0.08847785201006461,1333.2,-0.052561991201487454,4.2234,119.9098,0.007877679055066549,108.48,0.00360161076397383
2008-09-30,3.3481,0.002748162280376887,2323.22,-0.06354479402496754,192.75,0.04656695639442778,1225.15,-0.08451878197142981,3.7155,122.1143,0.01821769790375591,108.9,0.00386420574682934
2008-10-31,2.527,0.002081830050052691,1722.99,-0.2988930007282891,164.0,-0.16152758461924047,949.73,-0.2546408307893498,3.0751,125.0604,0.023839329222671783,109.7,0.007319337342269702
2008-11-30,1.8991,0.0015689730533965385,1895.91,0.09563778065331958,179.01,0.08757524237790182,891.25,-0.0635527619442993,2.9905,126.4326,0.010912539252962688,110.38,0.006179590730170579
2008-12-31,1.102,0.0009137273811092861,1883.37,-0.00663620902447226,190.65,0.06299761610147267,885.11,-0.0069130406590979816,2.7521,128.3216,0.01483025301666293,111.16,0.007041646862947812
2009-01-31,1.0884,0.0009025066452650332,2106.09,0.11177042251413342,188.49,-0.011394331220607425,939.13,0.05924198371062887,3.0368,127.712,-0.004761884002075828,111.18,0.00017990465102052933
2009-02-28,1.0119,0.0008393642103852184,2217.79,0.051678056712554106,207.51,0.09613457619763767,964.12,0.02626185341115225,3.1508,127.6517,-0.00047226760201828,111.31,0.0011685919798110973
2009-03-31,0.967,0.0008022837234868962,2598.36,0.1583692722241046,202.56,-0.024143392324791645,1052.32,0.08753676136185205,3.1612,127.8652,0.0016711227295408628,111.5,0.0017054893950389607
2009-04-30,1.0006,0.0008300335731645792,2718.49,0.045196102319838574,197.75,-0.02403253230804808,1098.69,0.0431213104467692,3.1072,127.8247,-0.00031678998926972895,111.59,0.0008068492974364167
2009-05-31,0.9605,0.0007969144718193988,2864.81,0.05242545124316461,208.69,0.05384629061897596,1122.44,0.02138632607217107,3.0409,128.3851,0.004374546903996251,111.76,0.0015222747510965189
2009-06-30,0.981,0.0008138471894441057,3303.17,0.14238058310523213,207.41,-0.0061523866259519605,1159.31,0.032320113462108176,3.2403,128.2686,-0.0009078381336510117,111.83,0.0006261460913905028
2009-07-31,1.6408,0.0013571570510613196,3902.26,0.16667325903093216,206.26,-0.005560001752864265,1207.92,0.04107487160212477,3.503,127.4755,-0.006202313503681124,111.82,-8.942544159780043e-05
2009-08-31,1.6023,0.0013255433149002016,2958.4,-0.2769072908265057,209.85,0.017255480891677,1239.57,0.025864673129245393,3.4805,127.8034,0.0025689563871697414,112.01,0.0016977174251489584
2009-09-30,1.4455,0.0011966756517534094,3142.84,0.06047826809194859,219.71,0.04591550518867898,1206.1,-0.02737253167626254,3.5132,127.793,-8.1378298017743e-05,112.18,0.0015165710565428598
2009-10-31,1.5171,0.0012555434697634205,3431.08,0.08774823067906226,230.45,0.04772542419823845,1266.9,0.04918095801881058,3.6886,127.6908,-0.0008000507699617367,112.31,0.0011581808947539434
2009-11-30,1.4821,0.0012267720584584474,3673.0,0.06813368641579602,258.25,0.11389418883323067,1342.04,0.057617872738736156,3.5569,128.1861,0.0038713976808224314,112.48,0.0015125230874101596
2009-12-31,1.4953,0.0012376240589215826,3739.99,0.018074170788544307,244.5,-0.054712799084821157,1422.2,0.0580141241026737,3.6422,128.5032,0.002470692477689144,112.64,0.0014214643473774466
2010-01-31,1.6529,0.0013670905296623292,3351.39,-0.10970775247369352,239.7,-0.01982716747458804,1329.75,-0.06721401382699066,3.58,128.9535,0.003498067513284261,112.82,0.001596735902097648
2010-02-28,1.6294,0.0013477972447122344,3432.46,0.02390202012579664,243.54,0.015893058638522764,1378.03,0.03566398839634697,3.3753,129.8012,0.006552174957324265,113.02,0.0017711658898672607
2010-03-31,1.5501,0.0012826624732975578,3499.54,0.019354326008270282,244.57,0.004220366428957903,1375.6,-0.0017649434606630072,3.4818,130.5083,0.005432777053272546,113.26,0.00212126648396165
2010-04-30,1.5892,0.0013147839293274899,3210.61,-0.08617058104550775,257.26,0.05058568014274996,1359.88,-0.011493539015093548,3.3565,131.1865,0.0051831486015101215,113.42,0.001411681900222941
2010-05-31,1.8162,0.0015010455283803736,2909.36,-0.09852782451744532,266.01,0.03344665540945591,1292.05,-0.05116635625888165,3.243,131.7527,0.004306705695786069,113.51,0.0007931961813660434
2010-06-30,2.1346,0.0017616636779531625,2696.46,-0.07599332408250697,271.44,0.020207218415949295,1252.98,-0.030705390207396096,3.279,131.809,0.0004272244476819741,113.54,0.0002642589753320915
2010-07-31,1.9318,0.0015957532124675211,3029.91,0.1165931144688509,255.8,-0.0593452313312323,1311.77,0.04585265618154961,3.2996,132.5175,0.0053608071589764305,113.88,0.0029900646672564976
2010-08-31,1.9163,0.0015830602351689649,3066.71,0.012072409611995072,270.63,0.05635668519191475,1343.04,0.02355833088693665,3.2301,133.0377,0.0039178345247805856,114.12,0.0021052639354624146
2010-09-30,1.9459,0.001607298190604567,3103.23,0.011838178815118847,282.1,0.041509043671293586,1397.05,0.03942716945192687,3.3183,132.982,-0.0004187659847296115,114.29,0.0014885515642073857
2010-10-31,2.043,0.001686763244812095,3573.01,0.1409648732689452,289.2,0.024856872276658986,1476.54,0.055338642313670326,3.6821,132.1395,-0.006355597987845093,114.48,0.001661057338688964
2010-11-30,2.7925,0.0022978198820022833,3316.14,-0.07460692188245298,295.08,0.020128015731491814,1467.24,-0.006318427966724157,3.971,130.3201,-0.013864451093560916,114.33,-0.0013111316943169946
2010-12-31,3.3,0.002709262614766672,3306.94,-0.002778165420707026,301.8,0.022518040317647044,1593.43,0.08250584048904289,3.8799,131.0211,0.00536464729784811,114.46,0.0011364134270777071
2011-01-31,3.1527,0.002590034079539505,3252.23,-0.01668237561086181,285.7,-0.054822237097021206,1631.75,0.023764133082184814,4.0187,131.048,0.00020528936905950682,114.72,0.002268959870354081
2011-02-28,3.0,0.0024662697723036864,3424.69,0.051670041777044,299.6,0.04750594240633704,1611.74,-0.012338717780016712,3.9314,131.2884,0.001832761807299916,115.15,0.0037412494153840096
2011-03-31,2.8734,0.0023635320846899788,3407.97,-0.004894150557497605,302.16,0.008508426761137106,1557.59,-0.03417458583146808,3.912,131.839,0.0041850510713092,115.54,0.0033811640864252705
2011-04-30,2.8094,0.002311551069329676,3376.42,-0.009300829532755295,320.17,0.057895426326247265,1526.16,-0.020384978276579837,3.8713,132.3772,0.004073942054843025,115.83,0.002506808591135084
2011-05-31,3.0348,0.0024944901809857978,3178.2,-0.0605009777822686,320.64,0.0014668937259965634,1525.62,-0.00035389183075846956,3.8311,132.8288,0.00340565776408009,116.11,0.002414418694660172
2011-06-30,3.4742,0.0028500637546631236,3249.17,0.022084580313658564,314.7,-0.01869919438608413,1505.6,-0.013209394965388565,3.8857,132.4263,-0.0030348167399796735,116.21,0.0008608815958675256
2011-07-31,3.7339,0.003059569320397637,3179.51,-0.02167248224106963,334.0,0.05952118890633932,1559.18,0.03496855218915237,4.0477,131.7212,-0.005338696559387915,116.41,0.0017195430253672387
2011-08-31,3.9174,0.0032073130250585002,3046.65,-0.042684470545520485,377.69,0.12293276035202971,1534.66,-0.01585118390469256,4.105,131.8243,0.0007824076317711207,116.72,0.0026594619543806497
2011-09-30,3.6069,0.002957175838155468,2763.53,-0.09753377829240457,338.49,-0.10957920351026562,1362.93,-0.1186720640379469,3.8605,132.7792,0.00721762293683113,117.25,0.004530503111858543
2011-10-31,3.1398,0.0025795850455545555,2885.58,0.043217071584547136,350.49,0.034837625578702396,1351.1,-0.008717718611714649,3.7607,134.6511,0.01399939028302907,117.82,0.004849628767152404
2011-11-30,2.7366,0.0022523865916614927,2699.74,-0.06657044753840885,351.77,0.0036453775452661083,1309.06,-0.03160975309004969,3.6091,136.2417,0.011743525704492408,118.34,0.004403801155006814
2011-12-31,2.7167,0.002236207195848827,2511.63,-0.07222352731355754,319.8,-0.09528175254257887,1323.16,0.010713492690565247,3.4211,137.7031,0.010669403933370498,118.69,0.002953214819865693
2012-01-31,2.7658,0.002276122013097792,2638.53,0.049289999131948876,354.16,0.1020529880240318,1393.18,0.05156608888166492,3.4064,138.7639,0.007674009599035762,119.13,0.0037002817428559466
2012-02-29,2.9475,0.0024236793367993226,2820.43,0.06666741169969384,361.96,0.021784920059046683,1422.44,0.020784802900959205,3.534,138.4534,-0.002240120871564788,119.5,0.0031010375602956814
2012-03-31,2.8355,0.002332753157905376,2628.72,-0.07039231989382241,339.04,-0.06541561396294347,1404.74,-0.012521474586479387,3.5004,138.9382,0.003495423030880377,119.98,0.004008690853381697
2012-04-30,2.8562,0.002349565100295825,2813.18,0.06781848038331606,336.09,-0.008739113281247431,1404.66,-5.6951662291952045e-05,3.5391,139.2292,0.00209226606824698,120.37,0.003245270166696396
2012-05-31,2.2307,0.001840177557688838,2827.63,0.005123388877942725,321.75,-0.043604134762505485,1314.19,-0.06657477435736801,3.3443,141.3857,0.01537012079002024,121.2,0.006871741243570563
2012-06-30,2.342,0.0019310253576545477,2670.81,-0.05705710777165978,322.49,0.002297281526902837,1310.63,-0.002712568620234172,3.3253,141.8743,0.0034498374961827133,121.42,0.0018135360670738397
2012-07-31,2.3077,0.0019030378954167926,2542.33,-0.04930081380943684,332.35,0.030116502484451878,1307.82,-0.0021463087542033313,3.2915,142.3204,0.0031393996185742454,121.72,0.002467715326482289
2012-08-31,2.6806,0.0022068492981390797,2407.08,-0.054666588739156356,339.69,0.021844806506466988,1302.97,-0.003715354799933526,3.3928,141.7468,-0.00403848652422968,121.84,0.0009853835581361047
2012-09-30,2.7921,0.002297494858416904,2506.22,0.0403612472838179,360.03,0.058153924317401816,1351.38,0.03648001847279927,3.4574,141.6713,-0.0005327817933006957,122.08,0.001967858949240468
2012-10-31,2.9327,0.002411669292766261,2464.59,-0.01675017686617513,343.94,-0.04572013775540618,1328.96,-0.016729611098953164,3.5739,141.9826,0.002194929278106333,122.48,0.0032711838132814986
2012-11-30,2.8834,0.002371651440425504,2338.81,-0.05238321205293588,346.02,0.00602935329932279,1322.35,-0.0049862246927393486,3.5332,142.4085,0.002995173325733187,122.8,0.0026092643636136236
2012-12-31,2.905,0.002389186780230812,2757.77,0.1647801291228838,334.5,-0.03385969728709304,1378.96,0.04191913509648651,3.5738,142.7568,0.0024427949206955544,123.17,0.0030084992403508247
2013-01-31,2.8047,0.002307732544467367,2936.96,0.06295265065421687,336.8,0.006852402799888482,1406.43,0.019724986915293438,3.6054,143.5933,0.005842515015649176,123.66,0.003970349177029698
2013-02-28,2.7612,0.0022723832816393674,2922.14,-0.0050588082147562915,323.99,-0.038776631249682274,1358.2,-0.0348942850817382,3.5957,144.3294,0.005113189086924557,124.03,0.002987607696815467
2013-03-31,2.679,0.002205547898125104,2727.51,-0.06892711949001626,320.23,-0.01167316350179594,1293.57,-0.04875445578033132,3.5392,144.8163,0.0033678554460249903,124.36,0.0026571133633147797
2013-04-30,2.7842,0.002291075405026266,2675.94,-0.019088384589552226,296.5,-0.07699226917891339,1226.4,-0.0533227893417554,3.4314,145.7612,0.006503623512097502,124.71,0.0028104567421025927
2013-05-31,2.8682,0.0023593097337815117,2856.77,0.06539089549285959,281.5,-0.05191477085803507,1226.5,8.153614093954713e-05,3.4399,146.6039,0.005764725910995959,125.08,0.0029624906569847968
2013-06-30,3.4812,0.002855717122680179,2438.25,-0.15841104711282447,243.5,-0.14501550505710056,1182.59,-0.03645763629209524,3.5125,146.1482,-0.003113216732232777,124.86,-0.0017604229560424227
2013-07-31,3.4908,0.0028634697430860445,2451.31,0.005342006666363266,265.8,0.0876272037565005,1193.39,0.009091048226281274,3.7214,145.7451,-0.0027619699133433523,125.42,0.00447499548127676
2013-08-31,3.6186,0.002966613748532909,2589.87,0.05498510586518921,277.6,0.043437082353504484,1251.7,0.047704630701247995,4.0354,144.7978,-0.0065209189884559505,125.8,0.0030252391514653996
2013-09-30,3.5451,0.002907308096609995,2699.12,0.04131811255741923,265.5,-0.04456638795065598,1245.89,-0.0046524933877218075,3.9954,144.7779,-0.00013744247208126282,126.29,0.003887505391738616
2013-10-31,3.9752,0.003253800752914149,2659.69,-0.014716219310206105,262.25,-0.012316593405586985,1237.58,-0.006692274128256923,4.1806,143.9536,-0.00570981856490494,126.56,0.002135654361264985
2013-11-30,3.9787,0.0032566149930157717,2732.79,0.027113490706080056,244.8,-0.06885669663823552,1234.83,-0.0022245510526654588,4.3612,142.6775,-0.008904186818801448,126.76,0.001579030803376232
2013-12-31,4.2189,0.003449545103653584,2610.75,-0.04568552897731218,236.46,-0.03466249020320369,1208.4,-0.021636138252816677,4.5518,142.3383,-0.002380220044946982,127.27,0.0040152791812356325
2014-01-31,3.6094,0.002959192567743907,2467.83,-0.05629831439240713,246.4,0.04117717122439737,1156.54,-0.04386438132284447,4.5019,143.7103,0.009592849056083104,128.17,0.007046693737776784
2014-02-28,3.2775,0.002691060605250817,2441.65,-0.010665181711955806,262.76,0.06428483636490744,1138.27,-0.015923223296728104,4.4276,146.0489,0.016142029516771406,129.06,0.006919904765961141
2014-03-31,3.0901,0.0025393167126028793,2405.3,-0.014999404370095695,257.9,-0.018669155136973193,1127.56,-0.009453559854377649,4.5004,145.8541,-0.001334690146507807,129.49,0.0033262455730549787
