window,type,row,col,value
120M,mu_monthly,r_bond,,0.0031549349767290625
120M,mu_annual,r_bond,,0.03785921972074875
120M,mu_monthly,r_equity,,0.006234362991254889
120M,mu_annual,r_equity,,0.07481235589505866
120M,mu_monthly,r_alt,,0.012481669596014305
120M,mu_annual,r_alt,,0.14978003515217164
180M,corr,r_cash,r_cash,1.0
180M,corr,r_cash,r_bond,0.6377241976065409
180M,corr,r_cash,r_equity,0.03436845704520005
180M,corr,r_cash,r_alt,-0.0864081275743641
180M,corr,r_bond,r_cash,0.6377241976065409
180M,corr,r_bond,r_bond,1.0
180M,corr,r_bond,r_equity,-0.14108805667943441
180M,corr,r_bond,r_alt,-0.05765873567882179
180M,corr,r_equity,r_cash,0.03436845704520005
180M,corr,r_equity,r_bond,-0.14108805667943441
180M,corr,r_equity,r_equity,1.0
180M,corr,r_equity,r_alt,0.15265294635577725
180M,corr,r_alt,r_cash,-0.0864081275743641
180M,corr,r_alt,r_bond,-0.05765873567882179
180M,corr,r_alt,r_equity,0.15265294635577725
180M,corr,r_alt,r_alt,1.0
180M,mu_monthly,r_cash,,0.002664557527818993
180M,mu_annual,r_cash,,0.03197469033382792
180M,mu_monthly,r_bond,,0.003585989617809749
180M,mu_annual,r_bond,,0.04303187541371699
180M,mu_monthly,r_equity,,0.005777234697743407
180M,mu_annual,r_equity,,0.06932681637292089
180M,mu_monthly,r_alt,,0.007212399740708318
180M,mu_annual,r_alt,,0.08654879688849981
240M,corr,r_cash,r_cash,1.0
240M,corr,r_cash,r_bond,0.6773003685799851
240M,corr,r_cash,r_equity,-0.07339240438809135
240M,corr,r_cash,r_alt,-0.14483450651057267
240M,corr,r_bond,r_cash,0.6773003685799851
240M,corr,r_bond,r_bond,1.0
240M,corr,r_bond,r_equity,-0.19188110731451122
240M,corr,r_bond,r_alt,-0.11358010088555502
240M,corr,r_equity,r_cash,-0.07339240438809135
240M,corr,r_equity,r_bond,-0.19188110731451122
240M,corr,r_equity,r_equity,1.0
240M,corr,r_equity,r_alt,0.20744419286675442
240M,corr,r_alt,r_cash,-0.14483450651057267
240M,corr,r_alt,r_bond,-0.11358010088555502
240M,corr,r_alt,r_equity,0.20744419286675442
240M,corr,r_alt,r_alt,1.0
240M,mu_monthly,r_cash,,0.002544046946916212
240M,mu_annual,r_cash,,0.030528563362994546
240M,mu_monthly,r_bond,,0.0032815173301158278
240M,mu_annual,r_bond,,0.03937820796138993
240M,mu_monthly,r_equity,,0.010956557593786493
240M,mu_annual,r_equity,,0.13147869112543792
240M,mu_monthly,r_alt,,0.008083648208069902
240M,mu_annual,r_alt,,0.09700377849683883
